"Time (ms)","Recording (a.u.)"
0.000000000E0,5.609205346E-6
2.083412250E-2,4.258623449E-6
4.166824501E-2,1.316743123E-6
6.250236751E-2,-2.309902629E-5
8.333649002E-2,-3.962971459E-5
1.041706125E-1,-4.129012086E-5
1.250047350E-1,-2.835158011E-5
1.458388575E-1,-3.849118366E-5
1.666729800E-1,-6.813444634E-5
1.875071025E-1,-7.188652671E-5
2.083412250E-1,-8.063120185E-5
2.291753476E-1,-7.945828111E-5
2.500094701E-1,-6.268930883E-5
2.708435926E-1,-7.201165863E-5
2.916777151E-1,-6.776920054E-5
3.125118376E-1,-6.762710836E-5
3.333459601E-1,-6.954357377E-5
3.541800826E-1,-4.205249570E-5
3.750142051E-1,-4.596319559E-5
3.958483276E-1,-2.924806904E-5
4.166824501E-1,-7.313821698E-6
4.375165726E-1,-6.510563708E-6
4.583506951E-1,1.079216690E-5
4.791848176E-1,5.925401638E-6
5.000189401E-1,2.001197572E-5
5.208530626E-1,3.591967106E-5
5.416871851E-1,4.698223711E-5
5.625213076E-1,7.035845920E-5
5.833554301E-1,7.043908408E-5
6.041895526E-1,5.213807526E-5
6.250236751E-1,3.261071106E-5
6.458577976E-1,3.559682591E-5
6.666919201E-1,2.911475713E-5
6.875260427E-1,3.970171383E-5
7.083601652E-1,6.292796024E-5
7.291942877E-1,5.352502558E-5
7.500284102E-1,4.927944974E-5
7.708625327E-1,5.220176536E-5
7.916966552E-1,6.677608326E-5
8.125307777E-1,7.859717880E-5
8.333649002E-1,8.226909267E-5
8.541990227E-1,8.547461766E-5
8.750331452E-1,9.594013682E-5
8.958672677E-1,1.073637759E-4
9.167013902E-1,8.880734094E-5
9.375355127E-1,6.762400881E-5
9.583696352E-1,5.071191481E-5
9.792037577E-1,3.349849430E-5
1.000037880E0,1.766445894E-5
1.020872003E0,8.434889196E-7
1.041706125E0,-1.276266448E-5
1.062540248E0,-2.508742000E-5
1.083374370E0,-5.970774509E-6
1.104208493E0,3.646505866E-5
1.125042615E0,5.338132542E-5
1.145876738E0,5.996410982E-5
1.166710860E0,5.908648382E-5
1.187544983E0,5.618917930E-5
1.208379105E0,6.806391320E-5
1.229213228E0,4.613258716E-5
1.250047350E0,3.312083936E-5
1.270881473E0,2.469925676E-5
1.291715595E0,-9.469241377E-6
1.312549718E0,3.512533567E-6
1.333383840E0,1.092741331E-5
1.354217963E0,-1.064937624E-5
1.375052085E0,-1.075324781E-5
1.395886208E0,-1.572013207E-5
1.416720330E0,-2.419689918E-5
1.437554453E0,-2.588599455E-5
1.458388575E0,-4.191847256E-5
1.479222698E0,-5.946854071E-5
1.500056820E0,-7.450582780E-5
1.520890943E0,-8.294090367E-5
1.541725065E0,-5.760550266E-5
1.562559188E0,-5.054553912E-5
1.583393310E0,-4.698082557E-5
1.604227433E0,-1.754337973E-5
1.625061555E0,-1.825546133E-5
1.645895678E0,-2.163994395E-5
1.666729800E0,-1.073913154E-5
1.687563923E0,2.029124062E-6
1.708398045E0,-8.559408343E-6
1.729232168E0,-2.931589552E-5
1.750066290E0,-4.643971624E-5
1.770900413E0,-8.065668226E-5
1.791734535E0,-9.251954179E-5
1.812568658E0,-9.588241664E-5
1.833402780E0,-9.420164861E-5
1.854236903E0,-9.993647109E-5
1.875071025E0,-8.356065518E-5
1.895905148E0,-6.118808960E-5
1.916739270E0,-9.508705261E-5
1.937573393E0,-9.634845628E-5
1.958407515E0,-9.997731831E-5
1.979241638E0,-1.159893145E-4
2.000075760E0,-1.260051504E-4
2.020909883E0,-1.220761187E-4
2.041744005E0,-9.239851352E-5
2.062578128E0,-1.190622497E-4
2.083412250E0,-1.058373018E-4
2.104246373E0,-9.256335761E-5
2.125080495E0,-1.089548823E-4
2.145914618E0,-7.383347111E-5
2.166748740E0,-6.791302440E-5
2.187582863E0,-5.814678298E-5
2.208416985E0,-5.117436740E-5
2.229251108E0,-5.437344225E-5
2.250085231E0,-6.850704085E-5
2.270919353E0,-8.786485705E-5
2.291753476E0,-5.563611194E-5
2.312587598E0,-6.973843119E-5
2.333421721E0,-9.227442933E-5
2.354255843E0,-7.224272122E-5
2.375089966E0,-8.671516116E-5
2.395924088E0,-9.063292237E-5
2.416758211E0,-8.058486128E-5
2.437592333E0,-8.862703544E-5
2.458426456E0,-8.632418758E-5
2.479260578E0,-9.785909060E-5
2.500094701E0,-1.089447906E-4
2.520928823E0,-1.054381355E-4
2.541762946E0,-1.165755166E-4
2.562597068E0,-1.173805576E-4
2.583431191E0,-1.095968182E-4
2.604265313E0,-1.338157745E-4
2.625099436E0,-1.550455054E-4
2.645933558E0,-1.339037262E-4
2.666767681E0,-1.303665049E-4
2.687601803E0,-1.301908051E-4
2.708435926E0,-1.045324025E-4
2.729270048E0,-9.578309255E-5
2.750104171E0,-1.029341802E-4
2.770938293E0,-1.187788221E-4
2.791772416E0,-1.226936001E-4
2.812606538E0,-1.447710820E-4
2.833440661E0,-1.529846777E-4
2.854274783E0,-1.562583639E-4
2.875108906E0,-1.899447816E-4
2.895943028E0,-1.803015475E-4
2.916777151E0,-1.939673239E-4
2.937611273E0,-1.933421154E-4
2.958445396E0,-1.813081617E-4
2.979279518E0,-1.984876872E-4
3.000113641E0,-1.706554613E-4
3.020947763E0,-1.904414385E-4
3.041781886E0,-1.913025772E-4
3.062616008E0,-1.653640938E-4
3.083450131E0,-1.861814526E-4
3.104284253E0,-1.660232374E-4
3.125118376E0,-1.565440907E-4
3.145952498E0,-1.547720167E-4
3.166786621E0,-1.457402832E-4
3.187620743E0,-1.593956695E-4
3.208454866E0,-1.538849756E-4
3.229288988E0,-1.582875120E-4
3.250123111E0,-1.873773144E-4
3.270957233E0,-1.969583245E-4
3.291791356E0,-2.095556265E-4
3.312625478E0,-2.276085288E-4
3.333459601E0,-2.251729311E-4
3.354293723E0,-2.504058357E-4
3.375127846E0,-2.622483880E-4
3.395961968E0,-2.477380913E-4
3.416796091E0,-2.547803742E-4
3.437630213E0,-2.466615697E-4
3.458464336E0,-2.341568761E-4
3.479298458E0,-2.336364851E-4
3.500132581E0,-2.290173579E-4
3.520966703E0,-2.421903482E-4
3.541800826E0,-2.676063159E-4
3.562634948E0,-2.579107531E-4
3.583469071E0,-2.722403442E-4
3.604303193E0,-2.953521907E-4
3.625137316E0,-2.777982736E-4
3.645971438E0,-2.811269369E-4
3.666805561E0,-2.540849673E-4
3.687639683E0,-2.533385996E-4
3.708473806E0,-2.986013133E-4
3.729307928E0,-3.060908639E-4
3.750142051E0,-2.995566756E-4
3.770976173E0,-2.594744146E-4
3.791810296E0,-2.303255169E-4
3.812644418E0,-2.127322368E-4
3.833478541E0,-1.798882731E-4
3.854312663E0,-1.833015267E-4
3.875146786E0,-1.811621332E-4
3.895980908E0,-1.401667978E-4
3.916815031E0,-1.089316138E-4
3.937649153E0,-1.065472898E-4
3.958483276E0,-1.016265742E-4
3.979317398E0,-1.164312343E-4
4.000151521E0,-1.601328549E-4
4.020985643E0,-1.897813345E-4
4.041819766E0,-1.927858102E-4
4.062653888E0,-1.804924977E-4
4.083488011E0,-1.757383870E-4
4.104322133E0,-1.587448787E-4
4.125156256E0,-1.492340089E-4
4.145990378E0,-1.606133592E-4
4.166824501E0,-1.491223229E-4
4.187658623E0,-1.467905386E-4
4.208492746E0,-1.461921784E-4
4.229326868E0,-1.341680036E-4
4.250160991E0,-1.343799522E-4
4.270995113E0,-1.386299700E-4
4.291829236E0,-1.410078985E-4
4.312663358E0,-1.364544732E-4
4.333497481E0,-1.612948254E-4
4.354331603E0,-1.775741111E-4
4.375165726E0,-1.515765907E-4
4.395999848E0,-1.609607716E-4
4.416833971E0,-1.701151341E-4
4.437668093E0,-1.794698328E-4
4.458502216E0,-2.135064569E-4
4.479336338E0,-2.119533892E-4
4.500170461E0,-2.260295296E-4
4.521004584E0,-2.210685925E-4
4.541838706E0,-1.872621069E-4
4.562672829E0,-1.803405030E-4
4.583506951E0,-1.573470799E-4
4.604341074E0,-1.457003091E-4
4.625175196E0,-1.369196689E-4
4.646009319E0,-1.344899647E-4
4.666843441E0,-1.570580498E-4
4.687677564E0,-1.557885698E-4
4.708511686E0,-1.528729335E-4
4.729345809E0,-1.494762837E-4
4.750179931E0,-1.343477343E-4
4.771014054E0,-1.279079879E-4
4.791848176E0,-1.016756723E-4
4.812682299E0,-7.172224286E-5
4.833516421E0,-5.586578845E-5
4.854350544E0,-4.048203482E-5
4.875184666E0,-4.723872917E-5
4.896018789E0,-6.174183363E-5
4.916852911E0,-6.659419159E-5
4.937687034E0,-6.092018884E-5
4.958521156E0,-7.131684106E-5
4.979355279E0,-8.615648403E-5
5.000189401E0,-8.674715355E-5
5.021023524E0,-9.219201456E-5
5.041857646E0,-6.495820708E-5
5.062691769E0,-4.221212657E-5
5.083525891E0,-1.776821591E-5
5.104360014E0,9.542762200E-6
5.125194136E0,7.159229881E-6
5.146028259E0,1.915765097E-5
5.166862381E0,1.007447463E-5
5.187696504E0,5.345689260E-6
5.208530626E0,-6.595332252E-6
5.229364749E0,-4.086229455E-5
5.250198871E0,-5.112962026E-5
5.271032994E0,-7.798862498E-5
5.291867116E0,-8.308352699E-5
5.312701239E0,-7.896522584E-5
5.333535361E0,-8.876061474E-5
5.354369484E0,-8.296781743E-5
5.375203606E0,-7.834063581E-5
5.396037729E0,-6.012881931E-5
5.416871851E0,-5.387792771E-5
5.437705974E0,-5.165718540E-5
5.458540096E0,-4.081462976E-5
5.479374219E0,-3.642390220E-5
5.500208341E0,-2.788319034E-5
5.521042464E0,-4.084683678E-5
5.541876586E0,-5.519409387E-5
5.562710709E0,-6.407569163E-5
5.583544831E0,-7.753694808E-5
5.604378954E0,-6.992506678E-5
5.625213076E0,-5.639132723E-5
5.646047199E0,-5.787953705E-5
5.666881321E0,-5.811817391E-5
5.687715444E0,-4.998942313E-5
5.708549566E0,-5.692886771E-5
5.729383689E0,-6.081290849E-5
5.750217811E0,-6.792818021E-5
5.771051934E0,-6.611423305E-5
5.791886056E0,-6.987096276E-5
5.812720179E0,-1.043786688E-4
5.833554301E0,-1.215616940E-4
5.854388424E0,-1.349933591E-4
5.875222546E0,-1.199129183E-4
5.896056669E0,-1.109114237E-4
5.916890791E0,-1.160793399E-4
5.937724914E0,-9.939676238E-5
5.958559036E0,-1.140070526E-4
5.979393159E0,-1.192507043E-4
6.000227281E0,-1.251233625E-4
6.021061404E0,-1.356399735E-4
6.041895526E0,-1.355018467E-4
6.062729649E0,-1.557442010E-4
6.083563771E0,-1.702138252E-4
6.104397894E0,-1.650397171E-4
6.125232016E0,-1.861973578E-4
6.146066139E0,-2.258141321E-4
6.166900261E0,-2.122523147E-4
6.187734384E0,-1.987822616E-4
6.208568506E0,-1.940075890E-4
6.229402629E0,-1.669530175E-4
